2020-03-04 08:43:11,b'#coronavirus handwash https://t.co/i0bwAVXz2j'
2020-03-04 08:43:11,"b'RT @EricTrump: Since this will never get reported by the media, I wanted to share a copy of this check. @realDonaldTrump is once again dona\xe2\x80\xa6'"
2020-03-04 08:43:11,b'RT @ContagionTrack: Shenzhen China. Reports of employees collapsed. 1 video. How could they not provide training(basic) and PPE to everyone\xe2\x80\xa6'
2020-03-04 08:43:11,b'Deputy Minister @DrDavidMasondo at @BlackBCouncil Summit: public debt limits our capacity to respond to future shoc\xe2\x80\xa6 https://t.co/bWC4iZ5Jyt'
2020-03-04 08:43:11,b'RT @raveenaujmaya: \xf0\x9f\x9a\xa8#BREAKING #Iraq\xe2\x80\x99s #Kurdistan Region reports first death from #coronavirus #COVID19. \n\nDeveloping...'
2020-03-04 08:43:10,"b'RT @D_Raval: Jeremy Corbyn outlines how 10 years of Tory cuts and under investment in the NHS, social care and other services have put us i\xe2\x80\xa6'"
2020-03-04 08:43:10,b'RT @Official_aahiI: #coronavirus has entered in India. Please be safe and follow instructions provided by authorities.. We shouldn\xe2\x80\x99t take i\xe2\x80\xa6'
2020-03-04 08:43:09,"b'RT @EricTrump: Since this will never get reported by the media, I wanted to share a copy of this check. @realDonaldTrump is once again dona\xe2\x80\xa6'"
2020-03-04 08:43:09,"b""RT @abc730: Our plan tonight is to arm you with the facts about #coronavirus that you need to know - whether you're likely to catch it, how\xe2\x80\xa6"""
2020-03-04 08:43:09,"b'RT @rozlatiff: Malaysia reports 14 new cases of #coronavirus, bringing the total to 50. All the new cases were traced back to case-26, a Ma\xe2\x80\xa6'"
2020-03-04 08:43:09,b'RT @Hamza_Africa: Tanzanian President John Magufuli exchanging foot greeting with opposition politician Maalim Seif Sharif Hamad.\n\nThe two\xe2\x80\xa6'
2020-03-04 08:43:08,"b'RT @santhgogikar: Just-in : An employee of DSM at Mindspace, Hyderabad has been tested positive for #coronavirus. Both Mindspace &amp; Brightsp\xe2\x80\xa6'"
2020-03-04 08:43:08,"b'21 Italians came , then through Indian driver it started spreading in other indians. Be safe guys #coronavirus\xe2\x80\xa6 https://t.co/7AuiR9MAgq'"
2020-03-04 08:43:08,b'RT @SiemensHealth: We support the decision to postpone #ECR2020 given the current development of the #coronavirus. As we put people and the\xe2\x80\xa6'
2020-03-04 08:43:07,b'RT @amitbhawani: Just-in : An employee of Mindspace at Hyderabad has been  tested positive for #coronavirus. Both Mindspace &amp; Brightspace o\xe2\x80\xa6'
2020-03-04 08:43:07,b'RT @Rachael_Swindon: I think #Coronavirus has been in our communities for longer than many of us might believe. \n\nWhat do you think @MattHa\xe2\x80\xa6'
